,Date,District,Final_aqi
248,2024-10-16,Sheikhupura,152.41522095833332
249,2024-10-16,Sialkot,113.5718025
250,2024-10-16,Toba Tek Singh,106.84001933333333
251,2024-10-16,Vehari,95.22653029166668
252,2024-10-17,Attock,92.90566108333333
253,2024-10-17,Bahawalnagar,121.16509662499999
254,2024-10-17,Bahawalpur,123.76759816666667
255,2024-10-17,Bhakkar,90.363099625
256,2024-10-17,Chakwal,90.26841158333333
257,2024-10-17,Chiniot,120.98361275
258,2024-10-17,Dera Ghazi Khan,113.83904791666667
259,2024-10-17,Faisalabad,116.18814941666666
260,2024-10-17,Gujranwala,113.78584420833333
261,2024-10-17,Gujrat,88.31393895833334
262,2024-10-17,Hafizabad,112.11007620833334
263,2024-10-17,Jhang,124.3304215
264,2024-10-17,Jhelum,100.92044874999999
265,2024-10-17,Kasur,114.41669795833333
266,2024-10-17,Khanewal,114.85982316666667
267,2024-10-17,Khushab,85.168045375
268,2024-10-17,Lahore,152.23623041666667
269,2024-10-17,Layyah,99.6549405
270,2024-10-17,Lodhran,104.15728204166668
271,2024-10-17,Mandi Bahuddin,110.81505662500001
272,2024-10-17,Mianwali,87.28800770833334
273,2024-10-17,Multan,104.13322845833333
274,2024-10-17,Muzaffargarh,105.02688258333335
275,2024-10-17,Nankana Sahib,114.59730020833332
276,2024-10-17,Narowal,104.90451066666667
277,2024-10-17,Okara,110.78878795833333
278,2024-10-17,Pakpattan,119.99270470833333
279,2024-10-17,Rahim Yar Khan,83.040379625
280,2024-10-17,Rajanpur,84.13367708333332
281,2024-10-17,Rawalpindi,96.04744758333334
282,2024-10-17,Sahiwal,117.41643870833333
283,2024-10-17,Sargodha,112.48476891666667
284,2024-10-17,Sheikhupura,155.610013125
285,2024-10-17,Sialkot,103.90316595833333
286,2024-10-17,Toba Tek Singh,117.250466625
287,2024-10-17,Vehari,112.208874
288,2024-10-18,Attock,99.78972599999999
289,2024-10-18,Bahawalnagar,115.87181495833333
290,2024-10-18,Bahawalpur,103.47137887500001
291,2024-10-18,Bhakkar,99.64404325
292,2024-10-18,Chakwal,94.92390412499999
293,2024-10-18,Chiniot,127.17794095833334
294,2024-10-18,Dera Ghazi Khan,123.35681129166666
295,2024-10-18,Faisalabad,114.97599191666666
296,2024-10-18,Gujranwala,117.19138383333335
297,2024-10-18,Gujrat,93.81524929166666
298,2024-10-18,Hafizabad,118.26441220833334
299,2024-10-18,Jhang,129.62675175
300,2024-10-18,Jhelum,108.99841604166666
301,2024-10-18,Kasur,115.18583316666667
302,2024-10-18,Khanewal,116.63975025
303,2024-10-18,Khushab,95.90170283333333
304,2024-10-18,Lahore,151.77593416666667
305,2024-10-18,Layyah,106.558581
306,2024-10-18,Lodhran,100.83168683333334
307,2024-10-18,Mandi Bahuddin,114.80567045833334
308,2024-10-18,Mianwali,95.35159079166665
309,2024-10-18,Multan,106.92339933333334
310,2024-10-18,Muzaffargarh,110.56473975
311,2024-10-18,Nankana Sahib,117.17002429166666
312,2024-10-18,Narowal,104.85703283333334
313,2024-10-18,Okara,113.6583865
314,2024-10-18,Pakpattan,119.53837229166668
