District,date,Aqi
Bhakkar,2024-11-02,55.192223
Bhakkar,2024-11-03,54.797554
Bhakkar,2024-11-04,55.989223
Bhakkar,2024-11-05,57.234776
Bhakkar,2024-11-06,57.725174
Bhakkar,2024-11-07,57.453068
Bhakkar,2024-11-08,56.99542
Bhakkar,2024-11-09,56.868855
Bhakkar,2024-11-10,57.031395
Bhakkar,2024-11-11,56.943672
Bhakkar,2024-11-12,55.480145
Bhakkar,2024-11-13,54.44467
Bhakkar,2024-11-14,54.622795
Bhakkar,2024-11-15,55.638336
Bhakkar,2024-11-16,56.879528
Bhakkar,2024-11-17,57.64883
Bhakkar,2024-11-18,57.472244
Bhakkar,2024-11-19,57.32523
Bhakkar,2024-11-20,57.548298
Bhakkar,2024-11-21,57.256985
Bhakkar,2024-11-22,56.949863
Bhakkar,2024-11-23,55.145096
Bhakkar,2024-11-24,54.548935
Bhakkar,2024-11-25,55.4881
Bhakkar,2024-11-26,56.791653
Bhakkar,2024-11-27,57.54585
Chakwal,2024-08-30,62.825527
Chakwal,2024-08-31,51.790257
Chakwal,2024-09-01,51.7384
Chakwal,2024-09-02,53.755768
Chakwal,2024-09-03,55.19055
Chakwal,2024-09-04,55.887024
Chakwal,2024-09-05,56.47112
Chakwal,2024-09-06,59.122498
Chakwal,2024-09-07,58.942764
Chakwal,2024-09-08,58.755913
Chakwal,2024-09-09,64.43234
Chakwal,2024-09-10,64.19137
Chakwal,2024-09-11,64.19429
Chakwal,2024-09-12,65.575226
Chakwal,2024-09-13,66.32237
Chakwal,2024-09-14,66.42184
Chakwal,2024-09-15,66.40013
Chakwal,2024-09-16,65.898895
Chakwal,2024-09-17,65.07222
Chakwal,2024-09-18,64.049805
Chakwal,2024-09-19,63.23983
Chakwal,2024-09-20,63.546177
Chakwal,2024-09-21,63.350628
Chakwal,2024-09-22,63.188652
Chakwal,2024-09-23,64.458206
Chakwal,2024-09-24,65.02263
Chakwal,2024-09-25,65.1509
Chakwal,2024-09-26,64.23996
Chakwal,2024-09-27,63.825676
Chakwal,2024-09-28,64.28468
Chakwal,2024-09-29,64.61165
Chakwal,2024-09-30,66.742645
Chakwal,2024-10-01,66.32388
Chakwal,2024-10-02,65.383804
Chakwal,2024-10-03,63.27859
Chakwal,2024-10-04,64.10518
Chakwal,2024-10-05,65.167725
Chakwal,2024-10-06,65.667816
Chakwal,2024-10-07,65.543755
Chakwal,2024-10-08,65.33711
Chakwal,2024-10-09,67.293465
