datetime,District,Carbon_monoxide,Dust,Nitrogen_dioxide,Ozone,Pm_10,Pm_25,Sulphur_dioxide,Pm25_aqi,Pm10_aqi,Dust_aqi,O3_aqi,Co_aqi,No2_aqi,So2_aqi,Final_aqi,Date
2024-10-21,Mianwali,282.17031625,-2.757970745833333,6.200339654583334,110.34065937500002,34.286620041666666,12.820526833333332,282.17031625,52.51527102288984,31.746870408950617,-2.553676616512346,188.33635861170833,151.0,5.849377032625786,190.93513132415254,80.03706831714584,2024-10-21
2024-10-22,Mianwali,282.17032083333334,-2.7579686083333335,6.104055026666667,110.26347808333333,34.286619083333335,12.820527666666665,282.17032083333334,52.51527277539342,31.746869521604935,-2.553674637345679,188.07106347055182,151.0,5.7585424779874215,190.93513322740114,80.01490848608334,2024-10-22
2024-10-23,Mianwali,282.17031125,-2.7579710625,6.149179539166667,110.12856900000001,34.286619791666666,12.820530333333332,282.17031125,52.51527838340487,31.746870177469134,-2.5536769097222223,187.68914478732583,151.0,5.801112772798742,190.93512924788138,80.00818505900001,2024-10-23
2024-10-24,Mianwali,282.17033458333333,-2.7579720791666666,6.3202720687500005,110.05323525,34.286618125,12.82052925,282.17033458333333,52.515276105150214,31.746868634259258,-2.553677851080247,187.6125800467432,151.0,5.962520819575471,190.9351389371469,80.02631949177083,2024-10-24
2024-10-25,Mianwali,282.1703275,-2.757971533333333,6.559803906666667,109.906454,34.28661870833333,12.8205285,282.1703275,52.515274527897,31.746869174382713,-2.5536773456790125,187.33705312065914,151.0,6.188494251572327,190.93513599576272,80.04756971141667,2024-10-25
2024-10-26,Mianwali,282.17032208333336,-2.757969875,6.883701017916667,109.82474766666667,34.286622333333334,12.820526416666667,282.17032208333336,52.51527014663805,31.7468725308642,-2.5536758101851853,187.37621968313738,151.0,6.494057564072327,190.93513374646895,80.08798302977084,2024-10-26
2024-10-27,Mianwali,282.1703079166667,-2.757971379166667,7.119944125416667,109.70501766666666,34.2866205,12.820528583333333,282.1703079166667,52.515274703147355,31.746870833333332,-2.5536772029320987,187.15148542780267,151.0,6.716928420204403,190.9351278637006,80.1114436706875,2024-10-27
2024-10-28,Mianwali,282.17031791666665,-2.757971379166667,7.17631952625,109.63807741666666,34.286619083333335,12.82052825,282.17031791666665,52.51527400214593,31.746869521604935,-2.5536772029320987,187.28821493217308,151.0,6.770112760613208,190.93513201624296,80.1132075183125,2024-10-28
2024-10-29,Mianwali,282.17032166666667,-2.757969320833333,7.1571037083333335,109.546512125,34.28662225,12.82052575,282.17032166666667,52.51526874463519,31.746872453703702,-2.553675297067901,187.07053409859088,151.0,6.751984630503145,190.93513357344634,80.10116963604167,2024-10-29
2024-10-30,Mianwali,282.17030666666665,-2.7579704291666665,7.099394620000001,109.42934279166667,34.286620041666666,12.820525000000002,282.17030666666665,52.51526716738198,31.746870408950613,-2.553676323302469,186.9651881768757,151.0,6.697542094339622,190.93512734463278,80.08079254445833,2024-10-30
2024-10-31,Mianwali,282.1703166666667,-2.7579702708333333,6.9104235874999995,109.37532175,34.28661929166667,12.820526749999999,282.1703166666667,52.51527084763949,31.746869714506172,-2.553676176697531,186.89929585666292,151.0,6.519267535377359,190.93513149717515,80.04704704333334,2024-10-31
2024-11-01,Mianwali,282.17032291666663,-2.757970508333333,6.654776034166667,109.29994191666667,34.28662075,12.820525333333334,282.17032291666663,52.515267868383404,31.746871064814812,-2.553676396604938,186.69189867270123,151.0,6.278090598270441,190.93513409251412,80.00116317554166,2024-11-01
2024-11-02,Mianwali,282.170315,-2.7579709833333332,6.40462545,109.27052125,34.28662025,12.820528083333334,282.170315,52.51527365164521,31.746870601851853,-2.553676836419753,186.78969919566535,151.0,6.042099481132076,190.93513080508475,79.96069747666667,2024-11-02
2024-11-03,Mianwali,282.1703395833333,-2.757970508333333,6.200328989166667,109.23230120833334,34.286619583333334,12.820527166666666,282.1703395833333,52.51527172389128,31.746869984567898,-2.553676396604938,186.6388158884923,151.0,5.849366970911949,190.93514101341808,79.92623554795834,2024-11-03
2024-11-04,Mianwali,282.1703116666667,-2.7579694791666665,6.1040498833333325,109.18804399999999,34.286619333333334,12.820526083333334,282.1703116666667,52.515269445636626,31.74686975308642,-2.5536754436728395,186.80621661176278,151.0,5.758537625786164,190.93512942090396,79.90736209604167,2024-11-04
2024-11-05,Mianwali,282.17032,-2.757970508333333,6.149175240000001,109.20296533333334,34.286619916666666,12.82052875,282.17032,52.515275053648075,31.746870293209877,-2.553676396604938,186.72413294424226,151.0,5.801108716981132,190.93513288135594,79.91562546058334,2024-11-05
2024-11-06,Mianwali,282.1703225,-2.7579710625,6.32027064375,109.11606883333333,34.28661966666667,12.820529749999999,282.1703225,52.51527715665236,31.74687006172839,-2.5536769097222223,186.64550137463297,151.0,5.962519475235848,190.9351339194915,79.9326007809375,2024-11-06
