Date,District,Final_aqi
2024-10-23,Pakpattan,108.47427
2024-10-23,Rahim Yar Khan,122.93626
2024-10-23,Rajanpur,99.08423
2024-10-23,Rawalpindi,137.8852
2024-10-23,Sahiwal,115.587524
2024-10-23,Sargodha,130.51369
2024-10-23,Sheikhupura,135.70241
2024-10-23,Sialkot,127.396065
2024-10-23,Toba Tek Singh,116.27073
2024-10-23,Vehari,116.903625
2024-10-24,Attock,110.90229
2024-10-24,Bahawalnagar,195.48375
2024-10-24,Bahawalpur,188.5639
2024-10-24,Bhakkar,103.45231
2024-10-24,Chakwal,116.12952
2024-10-24,Chiniot,143.71288
2024-10-24,Dera Ghazi Khan,114.718025
2024-10-24,Faisalabad,138.08885
2024-10-24,Gujranwala,117.692345
2024-10-24,Gujrat,108.19983
2024-10-24,Hafizabad,128.92297
2024-10-24,Jhang,136.19917
2024-10-24,Jhelum,97.05069
2024-10-24,Kasur,125.72675
2024-10-24,Khanewal,112.41391
2024-10-24,Khushab,122.28419
2024-10-24,Lahore,133.78914
2024-10-24,Layyah,106.20968
2024-10-24,Lodhran,116.45715
2024-10-24,Mandi Bahuddin,106.466866
2024-10-24,Mianwali,97.64011
2024-10-24,Multan,108.68619
2024-10-24,Muzaffargarh,120.45045
2024-10-24,Nankana Sahib,119.5084
2024-10-24,Narowal,117.29664
2024-10-24,Okara,121.20945
2024-10-24,Pakpattan,108.46683
2024-10-24,Rahim Yar Khan,123.25897
2024-10-24,Rajanpur,98.085976
2024-10-24,Rawalpindi,133.22466
2024-10-24,Sahiwal,115.91568
2024-10-24,Sargodha,130.51024
2024-10-24,Sheikhupura,135.67764
2024-10-24,Sialkot,127.36497
2024-10-24,Toba Tek Singh,116.28003
2024-10-24,Vehari,117.3725
2024-10-25,Attock,110.45144
2024-10-25,Bahawalnagar,195.47356
2024-10-25,Bahawalpur,187.64276
2024-10-25,Bhakkar,103.451744
2024-10-25,Chakwal,115.86929
2024-10-25,Chiniot,143.77492
2024-10-25,Dera Ghazi Khan,115.29589
2024-10-25,Faisalabad,137.5703
2024-10-25,Gujranwala,117.69233
2024-10-25,Gujrat,107.89646
2024-10-25,Hafizabad,128.92337
2024-10-25,Jhang,136.19946
2024-10-25,Jhelum,97.07226
2024-10-25,Kasur,125.705605
2024-10-25,Khanewal,112.95211
2024-10-25,Khushab,122.276924
2024-10-25,Lahore,133.62642
2024-10-25,Layyah,106.20858
2024-10-25,Lodhran,116.4266
2024-10-25,Mandi Bahuddin,106.466866
2024-10-25,Mianwali,97.639
2024-10-25,Multan,108.70184
2024-10-25,Muzaffargarh,120.238396
2024-10-25,Nankana Sahib,119.54423
2024-10-25,Narowal,117.285545
2024-10-25,Okara,121.20706
2024-10-25,Pakpattan,108.47999
2024-10-25,Rahim Yar Khan,123.33661
2024-10-25,Rajanpur,96.25222
2024-10-25,Rawalpindi,134.84082
2024-10-25,Sahiwal,116.16922
2024-10-25,Sargodha,130.50697
2024-10-25,Sheikhupura,135.52126
2024-10-25,Sialkot,127.34241
2024-10-25,Toba Tek Singh,116.28998
2024-10-25,Vehari,116.83143
2024-10-26,Attock,111.42493
2024-10-26,Bahawalnagar,195.43913
2024-10-26,Bahawalpur,186.54335
2024-10-26,Bhakkar,103.450806
2024-10-26,Chakwal,115.64416
2024-10-26,Chiniot,143.81294
2024-10-26,Dera Ghazi Khan,115.0297
2024-10-26,Faisalabad,136.61229
2024-10-26,Gujranwala,117.692665
2024-10-26,Gujrat,107.74734
2024-10-26,Hafizabad,128.92363
2024-10-26,Jhang,136.19972
2024-10-26,Jhelum,97.11219
2024-10-26,Kasur,125.70816
2024-10-26,Khanewal,112.03867
2024-10-26,Khushab,122.21206
2024-10-26,Lahore,133.98769
2024-10-26,Layyah,106.207726
2024-10-26,Lodhran,116.424446
2024-10-26,Mandi Bahuddin,106.46691
2024-10-26,Mianwali,97.63807
2024-10-26,Multan,108.68888
2024-10-26,Muzaffargarh,119.877846
2024-10-26,Nankana Sahib,119.54542
2024-10-26,Narowal,117.28074
2024-10-26,Okara,120.91681
2024-10-26,Pakpattan,108.503784
2024-10-26,Rahim Yar Khan,123.37054
2024-10-26,Rajanpur,90.40215
2024-10-26,Rawalpindi,135.71857
2024-10-26,Sahiwal,116.32504
2024-10-26,Sargodha,130.50462
2024-10-26,Sheikhupura,135.44257
2024-10-26,Sialkot,127.331245
2024-10-26,Toba Tek Singh,116.29853
2024-10-26,Vehari,115.69623
2024-10-27,Attock,110.9786
2024-10-27,Bahawalnagar,195.41534
2024-10-27,Bahawalpur,185.19037
2024-10-27,Bhakkar,103.44915
2024-10-27,Chakwal,115.51542
2024-10-27,Chiniot,143.82637
2024-10-27,Dera Ghazi Khan,115.13729
2024-10-27,Faisalabad,136.20149
2024-10-27,Gujranwala,117.693016
2024-10-27,Gujrat,107.7551
2024-10-27,Hafizabad,128.92374
2024-10-27,Jhang,136.19922
2024-10-27,Jhelum,96.989044
2024-10-27,Kasur,125.67975
2024-10-27,Khanewal,112.321465
2024-10-27,Khushab,122.06014
2024-10-27,Lahore,134.60873
2024-10-27,Layyah,106.207115
2024-10-27,Lodhran,116.422615
2024-10-27,Mandi Bahuddin,106.46696
2024-10-27,Mianwali,97.63723
2024-10-27,Multan,108.69738
2024-10-27,Muzaffargarh,119.30112
2024-10-27,Nankana Sahib,119.53531
2024-10-27,Narowal,117.27784
2024-10-27,Okara,121.11794
2024-10-27,Pakpattan,108.518
2024-10-27,Rahim Yar Khan,123.38128
2024-10-27,Rajanpur,88.891754
2024-10-27,Rawalpindi,129.68925
2024-10-27,Sahiwal,116.36352
2024-10-27,Sargodha,130.50273
2024-10-27,Sheikhupura,135.4576
2024-10-27,Sialkot,127.327614
2024-10-27,Toba Tek Singh,116.30343
2024-10-27,Vehari,116.41214
2024-10-28,Attock,111.218414
2024-10-28,Bahawalnagar,195.36656
2024-10-28,Bahawalpur,185.19978
2024-10-28,Bhakkar,103.44809
2024-10-28,Chakwal,115.523186
2024-10-28,Chiniot,143.82298
2024-10-28,Dera Ghazi Khan,115.00645
2024-10-28,Faisalabad,136.51933
2024-10-28,Gujranwala,117.693085
2024-10-28,Gujrat,107.870544
2024-10-28,Hafizabad,128.92374
2024-10-28,Jhang,136.19911
2024-10-28,Jhelum,97.03106
2024-10-28,Kasur,125.70933
2024-10-28,Khanewal,112.47227
2024-10-28,Khushab,122.01444
2024-10-28,Lahore,134.57294
2024-10-28,Layyah,106.20699
2024-10-28,Lodhran,116.44354
2024-10-28,Mandi Bahuddin,106.46696
2024-10-28,Mianwali,97.63679
2024-10-28,Multan,108.70164
2024-10-28,Muzaffargarh,118.9974
2024-10-28,Nankana Sahib,119.52328
2024-10-28,Narowal,117.27421
2024-10-28,Okara,120.97045
2024-10-28,Pakpattan,108.51843
2024-10-28,Rahim Yar Khan,123.15851
2024-10-28,Rajanpur,89.30512
2024-10-28,Rawalpindi,133.47368
2024-10-28,Sahiwal,116.30285
2024-10-28,Sargodha,130.50215
2024-10-28,Sheikhupura,135.53705
2024-10-28,Sialkot,127.32778
2024-10-28,Toba Tek Singh,116.304634
2024-10-28,Vehari,115.504616
2024-10-29,Attock,111.075966
2024-10-29,Bahawalnagar,195.42493
2024-10-29,Bahawalpur,185.59145
2024-10-29,Bhakkar,103.44752
2024-10-29,Chakwal,115.60156
2024-10-29,Chiniot,143.81558
2024-10-29,Dera Ghazi Khan,114.5296
2024-10-29,Faisalabad,136.88863
2024-10-29,Gujranwala,117.69308
2024-10-29,Gujrat,107.99799
2024-10-29,Hafizabad,128.92372
2024-10-29,Jhang,136.19913
2024-10-29,Jhelum,97.1871
2024-10-29,Kasur,125.69732
2024-10-29,Khanewal,112.47341
2024-10-29,Khushab,122.00229
2024-10-29,Lahore,134.38167
2024-10-29,Layyah,106.20706
2024-10-29,Lodhran,116.46121
2024-10-29,Mandi Bahuddin,106.46696
2024-10-29,Mianwali,97.63681
2024-10-29,Multan,108.69506
2024-10-29,Muzaffargarh,119.00983
2024-10-29,Nankana Sahib,119.51725
2024-10-29,Narowal,117.27579
2024-10-29,Okara,120.89843
2024-10-29,Pakpattan,108.51708
2024-10-29,Rahim Yar Khan,122.61795
2024-10-29,Rajanpur,90.04313
2024-10-29,Rawalpindi,136.62766
2024-10-29,Sahiwal,116.214294
2024-10-29,Sargodha,130.50243
2024-10-29,Sheikhupura,135.56874
2024-10-29,Sialkot,127.33258
2024-10-29,Toba Tek Singh,116.30383
2024-10-29,Vehari,115.977356
2024-10-30,Attock,111.25788
2024-10-30,Bahawalnagar,195.42145
2024-10-30,Bahawalpur,185.70076
2024-10-30,Bhakkar,103.44755
2024-10-30,Chakwal,115.671425
2024-10-30,Chiniot,143.81055
2024-10-30,Dera Ghazi Khan,114.06414
2024-10-30,Faisalabad,137.12813
2024-10-30,Gujranwala,117.69308
2024-10-30,Gujrat,108.06728
2024-10-30,Hafizabad,128.92372
2024-10-30,Jhang,136.19911
2024-10-30,Jhelum,96.80186
2024-10-30,Kasur,125.69312
2024-10-30,Khanewal,112.31519
2024-10-30,Khushab,122.0022
2024-10-30,Lahore,134.26051
2024-10-30,Layyah,106.20713
2024-10-30,Lodhran,116.4708
2024-10-30,Mandi Bahuddin,106.46696
2024-10-30,Mianwali,97.63687
2024-10-30,Multan,108.69045
