District,date,Vehicle,Industry,Residential,Misc,Construction,Agriculture,Sum_of_Sources,Vehicle_percentage,Industry_percentage,Residential_percentage,Misc_percentage,Construction_percentage,Agriculture_percentage
Lahore,2024-11-24 07:00:00,347.5949995994568,168.42499938011173,69.0949999809265,2.1469999885559083,42.13999977111816,43.99799994468689,673.399998664856,51.61790916077075,25.01113746867337,10.260617778128976,0.31882981776251046,6.2577962362145465,6.5337095384498545
Lahore,2024-11-24 08:00:00,327.635000038147,162.87499947547914,67.98000016212464,1.9900000095367434,39.83999977111816,43.27999997138977,643.5999994277954,50.90661906921022,25.30686756064111,10.562461190578547,0.3091982615453682,6.190180206112283,6.724673711912471
Lahore,2024-11-24 09:00:00,376.8100006103516,181.08500118255614,76.97999992370605,2.214000015258789,43.77000045776367,47.24100009918213,728.1000022888184,51.75250644497057,24.87089693906146,10.572723483273673,0.30407911115217284,6.011536920776062,6.488257100766064
Lahore,2024-11-24 10:00:00,559.035001373291,242.895001411438,105.65000038146972,3.0720000457763676,59.42000045776367,60.928000144958496,1031.0000038146973,54.22259935061717,23.559165908120963,10.247332685796799,0.2979631459175534,5.763336589515987,5.909602320031528
Lahore,2024-11-24 11:00:00,808.6699983596801,326.639997959137,144.10999965667725,4.275999946594238,81.06999931335449,79.43399980545045,1444.1999950408936,55.99432219474437,22.617365952136563,9.978534839462915,0.29608087254377535,5.613488408235241,5.500207732877136
Lahore,2024-11-24 12:00:00,989.9649993896484,419.68999881744384,168.19500007629395,6.31099998474121,114.00499954223632,96.73399990081786,1794.8999977111816,55.154326182630264,23.382361098257487,9.370717047789439,0.35160733148302764,6.351607314480644,5.389381025359128
Lahore,2024-11-24 13:00:00,980.5299980163574,421.40499839782717,166.26499977111817,6.556999893188476,115.12999954223632,95.41299980163572,1785.2999954223635,54.922422031619675,23.604156135010342,9.313000627201786,0.36727720327122004,6.448776106953333,5.344367895943621
Lahore,2024-11-24 14:00:00,876.3099992752075,387.3500006675721,148.4550001144409,6.6849998855590815,106.94500045776367,85.85499998092652,1611.6000003814697,54.37515506749706,24.035120412998594,9.211653020557286,0.4148051553720976,6.635951875927621,5.327314467647334
Lahore,2024-11-24 15:00:00,778.0199983596801,352.7549969673157,131.8149995803833,6.592999992370605,98.24999885559083,76.86699975967409,1444.2999935150146,53.86831003621354,24.423942293928185,9.126566514729612,0.45648411147085316,6.80260328856461,5.3220937550932
Lahore,2024-11-24 16:00:00,720.7400009155274,330.7549997329712,122.18500022888183,6.215000076293945,92.91499977111816,71.89000003814697,1344.7000007629397,53.59857220990575,24.596936085767194,9.086413338258199,0.46218487936102876,6.909719619127029,5.34617386758079
Lahore,2024-11-24 17:00:00,672.8199989318847,312.7249971389771,114.25499992370607,5.719000015258789,88.67499885559081,67.90599979400635,1262.0999946594238,53.30956356698538,24.778147410052526,9.052769226461937,0.45313366923847065,7.025988371033917,5.3803977562277625
Lahore,2024-11-24 18:00:00,626.9499999046325,295.44999947547916,106.6499999046326,5.240000019073486,84.61499977111818,64.09499997138978,1182.9999990463257,52.99661880051121,24.974640719666603,9.01521555288321,0.44294167568027953,7.152578177458198,5.418005073800499
