date,hour,District,AQI
11/7/2024,18:00,Gujrat,200.91
11/7/2024,18:00,Hafizabad,242.325
11/7/2024,18:00,Jhang,229.755
11/7/2024,18:00,Jhelum,223.625
11/7/2024,18:00,Kasur,219.885
11/7/2024,18:00,Khanewal,250.82
11/7/2024,18:00,Khushab,226.0
11/7/2024,18:00,Lahore,515.345
11/7/2024,18:00,Layyah,210.42
11/7/2024,18:00,Lodhran,226.84
11/7/2024,18:00,Mandi Bahuddin,287.26
11/7/2024,18:00,Mianwali,179.495
11/7/2024,18:00,Multan,255.17
11/7/2024,18:00,Muzaffargarh,244.97
11/7/2024,18:00,Nankana Sahib,213.99
11/7/2024,18:00,Narowal,241.58
11/7/2024,18:00,Okara,198.35
11/7/2024,18:00,Pakpattan,154.54
11/7/2024,18:00,Rahim Yar Khan,187.68
11/7/2024,18:00,Rajanpur,228.775
11/7/2024,18:00,Rawalpindi,358.13
11/7/2024,18:00,Sahiwal,172.075
11/7/2024,18:00,Sargodha,255.07
11/7/2024,18:00,Sheikhupura,439.165
11/7/2024,18:00,Sialkot,274.12
11/7/2024,18:00,Toba Tek Singh,168.0
11/7/2024,18:00,Vehari,219.32
11/7/2024,19:00,Attock,307.965
11/7/2024,19:00,Bahawalnagar,152.7
11/7/2024,19:00,Bahawalpur,238.49
11/7/2024,19:00,Bhakkar,186.235
11/7/2024,19:00,Chakwal,200.22
11/7/2024,19:00,Chiniot,243.62
11/7/2024,19:00,Dera Ghazi Khan,230.82
11/7/2024,19:00,Faisalabad,227.545
11/7/2024,19:00,Gujranwala,251.935
11/7/2024,19:00,Gujrat,187.95
11/7/2024,19:00,Hafizabad,232.98
11/7/2024,19:00,Jhang,226.49
11/7/2024,19:00,Jhelum,214.385
11/7/2024,19:00,Kasur,208.33
11/7/2024,19:00,Khanewal,249.755
11/7/2024,19:00,Khushab,224.105
11/7/2024,19:00,Lahore,407.775
11/7/2024,19:00,Layyah,202.885
11/7/2024,19:00,Lodhran,234.945
11/7/2024,19:00,Mandi Bahuddin,276.93
11/7/2024,19:00,Mianwali,173.415
11/7/2024,19:00,Multan,245.78
11/7/2024,19:00,Muzaffargarh,238.345
11/7/2024,19:00,Nankana Sahib,214.445
11/7/2024,19:00,Narowal,231.935
11/7/2024,19:00,Okara,194.14
11/7/2024,19:00,Pakpattan,151.88
11/7/2024,19:00,Rahim Yar Khan,190.155
11/7/2024,19:00,Rajanpur,226.015
11/7/2024,19:00,Rawalpindi,298.735
11/7/2024,19:00,Sahiwal,166.715
11/7/2024,19:00,Sargodha,245.975
11/7/2024,19:00,Sheikhupura,381.325
11/7/2024,19:00,Sialkot,264.97
11/7/2024,19:00,Toba Tek Singh,165.71
11/7/2024,19:00,Vehari,228.355
11/7/2024,1:00,Attock,173.64
11/7/2024,1:00,Bahawalnagar,164.19
11/7/2024,1:00,Bahawalpur,165.64
11/7/2024,1:00,Bhakkar,168.73
11/7/2024,1:00,Chakwal,137.535
11/7/2024,1:00,Chiniot,269.58
11/7/2024,1:00,Dera Ghazi Khan,148.96
11/7/2024,1:00,Faisalabad,226.79
11/7/2024,1:00,Gujranwala,194.22
11/7/2024,1:00,Gujrat,159.185
11/7/2024,1:00,Hafizabad,267.68
11/7/2024,1:00,Jhang,223.86
11/7/2024,1:00,Jhelum,162.345
11/7/2024,1:00,Kasur,222.555
11/7/2024,1:00,Khanewal,179.95
11/7/2024,1:00,Khushab,245.0
11/7/2024,1:00,Lahore,251.705
11/7/2024,1:00,Layyah,198.14
11/7/2024,1:00,Lodhran,190.395
11/7/2024,1:00,Mandi Bahuddin,236.1
11/7/2024,1:00,Mianwali,164.005
11/7/2024,1:00,Multan,200.585
