Date,Date,Final_aqi
45521,8/17/2024,87.45
45522,8/18/2024,86.05541667
45523,8/19/2024,89.878125
45524,8/20/2024,83.41229167
45525,8/21/2024,91.89083333
45526,8/22/2024,119.664375
45527,8/23/2024,137.14875
45528,8/24/2024,141.6291667
45529,8/25/2024,145.3714583
45530,8/26/2024,109.0139583
45531,8/27/2024,77.08229167
45532,8/28/2024,65.24104167
45533,8/29/2024,80.1125
45534,8/30/2024,77.77333333
45535,8/31/2024,104.9435417
45536,9/1/2024,98.83916667
45537,9/2/2024,60.774375
45538,9/3/2024,123.9510417
45539,9/4/2024,95.556875
45540,9/5/2024,108.25375
45541,9/6/2024,128.7533333
45542,9/7/2024,131.188125
45543,9/8/2024,127.4208333
45544,9/9/2024,135.6952083
45545,9/10/2024,145.0029167
45546,9/11/2024,101.6820833
45547,9/12/2024,102.1452083
45548,9/13/2024,107.825
45549,9/14/2024,131.27625
45550,9/15/2024,133.0241667
45551,9/16/2024,142.1072917
45552,9/17/2024,134.5616667
45553,9/18/2024,142.0254167
45554,9/19/2024,125.5872917
45555,9/20/2024,121.634375
45556,9/21/2024,119.0620833
45557,9/22/2024,117.05875
45558,9/23/2024,103.4379167
45559,9/24/2024,111.15375
45560,9/25/2024,108.6639583
45561,9/26/2024,106.9760417
45562,9/27/2024,99.618125
45563,9/28/2024,114.8808333
45564,9/29/2024,112.589375
45565,9/30/2024,96.77166667
45627,12/1/2024,313.05304
45628,12/2/2024,293.95572
45629,12/3/2024,326.79236
45630,12/4/2024,314.68805
45631,12/5/2024,329.5506
45632,12/6/2024,315.207
45633,12/7/2024,300.41083
45634,12/8/2024,313.05304
45635,12/9/2024,293.95572
45636,12/10/2024,326.79236
45637,12/11/2024,314.68805
45638,12/12/2024,329.5506
45639,12/13/2024,235.83987
45640,12/14/2024,284.2748
45641,12/15/2024,275.006
45642,12/16/2024,269.93567
45643,12/17/2024,294.24365
45644,12/18/2024,274.47684
45645,12/19/2024,337.22403
45646,12/20/2024,315.207
45647,12/21/2024,300.41083
45648,12/22/2024,313.05304
45649,12/23/2024,293.95572
45650,12/24/2024,326.79236
45651,12/25/2024,314.68805
45652,12/26/2024,329.5506
45653,12/27/2024,315.207
45654,12/28/2024,300.41083
45655,12/29/2024,313.05304
45656,12/30/2024,293.95572
45657,12/31/2024,326.79236
45658,1/1/2025,314.68805
45659,1/2/2025,329.5506
45660,1/3/2025,315.207
45661,1/4/2025,300.41083
45662,1/5/2025,313.05304
45663,1/6/2025,293.95572
45664,1/7/2025,326.79236
45665,1/8/2025,314.68805
45666,1/9/2025,329.5506
45667,1/10/2025,315.207
45668,1/11/2025,300.41083
45669,1/12/2025,313.05304
45670,1/13/2025,258.82983
45671,1/14/2025,290.60242
45672,1/15/2025,269.59558
45673,1/16/2025,291.9616
45674,1/17/2025,279.2816
45675,1/18/2025,285.58786
45676,1/19/2025,325.6434
45677,1/20/2025,293.95572
45678,1/21/2025,326.79236
45679,1/22/2025,314.68805
45680,1/23/2025,329.5506
45681,1/24/2025,315.207
45682,1/25/2025,300.41083
45683,1/26/2025,313.05304
45684,1/27/2025,293.95572
45685,1/28/2025,326.79236
45686,1/29/2025,314.68805
45687,1/30/2025,329.5506
45688,1/31/2025,315.207
45689,2/1/2025,300.41083
45690,2/2/2025,313.05304
45691,2/3/2025,293.95572
45692,2/4/2025,326.79236
45693,2/5/2025,314.68805
45694,2/6/2025,329.5506
45566,10/1/2024,75.50635417
45567,10/2/2024,77.76203125
45568,10/3/2024,81.05393229
45569,10/4/2024,93.32507813
45570,10/5/2024,99.13776042
45571,10/6/2024,82.32729167
45572,10/7/2024,67.36171875
